94728KNYC NYC20250601132013406/01/25 13:20:31  5-MIN KNYC 011820Z AUTO 29007G16KT 240V320 10SM SCT070 19/04 A2975 320 36 900 300/07G16 250V330 RMK AO2 T01890039 $
94728KNYC NYC20250601132513406/01/25 13:25:31  5-MIN KNYC 011825Z AUTO 28011G21KT 240V320 10SM SCT070 19/03 A2975 320 34 900 290/11G21 250V330 RMK AO2 T01890028 $
94728KNYC NYC20250601133014106/01/25 13:30:31  5-MIN KNYC 011830Z AUTO 26007G21KT 220V290 10SM FEW002 BKN070 18/02 A2975 310 34 800 270/07G21 230V300 RMK AO2 T01830022 $
94728KNYC NYC20250601133514106/01/25 13:35:31  5-MIN KNYC 011835Z AUTO 29007G17KT 260V330 10SM FEW002 BKN070 18/02 A2975 310 34 800 300/07G17 270V340 RMK AO2 T01830022 $
94728KNYC NYC20250601134011806/01/25 13:40:31  5-MIN KNYC 011840Z AUTO VRB05G16KT 10SM BKN070 18/03 A2975 310 35 800 VRB/05G16 RMK AO2 T01830028 $
94728KNYC NYC20250601134512506/01/25 13:45:31  5-MIN KNYC 011845Z AUTO 25007G16KT 10SM BKN070 18/03 A2975 320 35 800 270/07G16 RMK AO2 SLP065 T01830028 $
94728KNYC NYC20250601135011606/01/25 13:50:31  5-MIN KNYC 011850Z AUTO 10SM BKN070 BKN080 18/03 A2975 320 35 800 M /M RMK AO2 SLP064 T01830028 $
94728KNYC NYC20250601135511206/01/25 13:55:31  5-MIN KNYC 011855Z AUTO 25006KT 10SM BKN070 18/03 A2975 310 36 800 260/06 RMK AO2 T01830033 $
94728KNYC NYC20250601140011206/01/25 14:00:31  5-MIN KNYC 011900Z AUTO VRB06KT 10SM BKN075 18/04 A2975 310 38 800 VRB/06 RMK AO2 T01830039 $
94728KNYC NYC20250601140511206/01/25 14:05:31  5-MIN KNYC 011905Z AUTO VRB05KT 10SM BKN075 18/04 A2976 310 38 800 VRB/05 RMK AO2 T01830039 $
94728KNYC NYC20250601141011206/01/25 14:10:31  5-MIN KNYC 011910Z AUTO 00000KT 10SM BKN075 18/04 A2976 310 39 700 000/00 RMK AO2 T01780039 $
94728KNYC NYC20250601141511206/01/25 14:15:31  5-MIN KNYC 011915Z AUTO 30004KT 10SM OVC075 18/05 A2976 300 42 700 310/04 RMK AO2 T01780050 $
94728KNYC NYC20250601142011206/01/25 14:20:31  5-MIN KNYC 011920Z AUTO VRB04KT 10SM OVC075 18/04 A2976 300 38 800 VRB/04 RMK AO2 T01830039 $
94728KNYC NYC20250601142510206/01/25 14:25:31  5-MIN KNYC 011925Z AUTO 10SM OVC075 18/03 A2977 300 38 700 M /M RMK AO2 T01780033 $
94728KNYC NYC20250601143011206/01/25 14:30:31  5-MIN KNYC 011930Z AUTO 28008KT 10SM OVC075 18/02 A2977 300 35 700 290/08 RMK AO2 T01780022 $
94728KNYC NYC20250601143511806/01/25 14:35:31  5-MIN KNYC 011935Z AUTO VRB06G17KT 10SM OVC075 18/02 A2977 300 35 700 VRB/06G17 RMK AO2 T01780022 $
94728KNYC NYC20250601144011806/01/25 14:40:31  5-MIN KNYC 011940Z AUTO VRB04G17KT 10SM OVC075 18/03 A2977 300 38 700 VRB/04G17 RMK AO2 T01780033 $
94728KNYC NYC20250601144511906/01/25 14:45:31  5-MIN KNYC 011945Z AUTO VRB03KT 10SM OVC080 18/03 A2977 300 38 700 VRB/03 RMK AO2 SLP072 T01780033 $
