timestamp,ticker,action,actual_price,expected_price,slippage,actual_fee,calc_fee,fee_diff,qty,ts_diff
2025-12-26 05:17:21.673132,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.03,0.03,0.0,3,
2025-12-26 05:20:14.888998,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.01,0.01,0.0,1,
2025-12-26 05:36:44.779689,KXHIGHNY-25DEC26-B33.5,BUY_YES,14,,,0.01,0.01,0.0,1,
2025-12-26 05:39:03.373311,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.01,0.01,0.0,1,
2025-12-26 06:06:07.784369,KXHIGHNY-25DEC26-B29.5,BUY_YES,29,,,0.02,0.02,0.0,1,
2025-12-26 06:08:08.128159,KXHIGHNY-25DEC26-B29.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-26 06:08:13.393428,KXHIGHNY-25DEC26-B29.5,BUY_YES,29,,,0.02,0.02,0.0,1,
2025-12-26 06:08:26.157680,KXHIGHNY-25DEC26-B29.5,BUY_YES,28,,,0.02,0.02,0.0,1,
2025-12-26 06:18:32.873501,KXHIGHNY-25DEC26-B33.5,BUY_YES,11,,,0.05,0.05,0.0,6,
2025-12-26 07:05:05.378613,KXHIGHNY-25DEC26-B31.5,BUY_NO,48,,,0.02,0.02,0.0,1,
2025-12-26 07:12:58.740997,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.04,0.04,0.0,5,
2025-12-26 07:13:02.502699,KXHIGHNY-25DEC26-B33.5,BUY_YES,12,,,0.01,0.01,0.0,1,
2025-12-26 07:16:09.834659,KXHIGHNY-25DEC27-B35.5,BUY_YES,8,,,0.01,0.01,0.0,1,
2025-12-27 05:12:17.066459,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.25,0.25,0.0,28,
2025-12-27 05:12:22.473286,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.2,0.2,0.0,22,
2025-12-27 05:14:24.056704,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.18,0.18,0.0,20,
2025-12-27 05:15:06.635824,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.16,0.16,0.0,17,
2025-12-27 05:17:49.209763,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.18,0.18,0.0,64,
2025-12-27 05:17:50.697457,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.17,0.17,0.0,79,
2025-12-27 05:18:05.351749,KXHIGHNY-25DEC27-T36,BUY_YES,1,,,0.07,0.07,0.0,92,
2025-12-27 05:18:07.550676,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.08,0.08,0.0,29,
2025-12-27 05:18:28.147656,KXHIGHNY-25DEC27-B31.5,BUY_NO,14,,,0.12,0.12,0.0,14,
2025-12-27 05:19:08.488547,KXHIGHNY-25DEC27-B31.5,BUY_NO,13,,,0.12,0.12,0.0,14,
2025-12-27 05:35:50.492490,KXHIGHNY-25DEC27-B35.5,BUY_YES,4,,,0.06,0.06,0.0,22,
2025-12-27 05:35:52.516286,KXHIGHNY-25DEC27-B31.5,BUY_NO,13,,,0.11,0.11,0.0,13,
2025-12-27 05:44:05.508466,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.08,0.08,0.0,36,
2025-12-27 05:44:09.317854,KXHIGHNY-25DEC27-B33.5,BUY_YES,15,,,0.16,0.16,0.0,17,
2025-12-27 05:47:06.151947,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.09,0.09,0.0,9,
2025-12-27 05:47:51.595683,KXHIGHNY-25DEC27-B31.5,BUY_NO,15,,,0.09,0.09,0.0,9,
2025-12-27 05:48:33.742578,KXHIGHNY-25DEC27-B31.5,BUY_NO,14,,,0.08,0.08,0.0,9,
2025-12-27 05:48:59.354667,KXHIGHNY-25DEC27-B33.5,BUY_YES,14,,,0.11,0.11,0.0,12,
2025-12-27 05:57:03.626373,KXHIGHNY-25DEC27-B33.5,BUY_YES,15,,,0.09,0.09,0.0,10,
2025-12-27 05:57:11.707311,KXHIGHNY-25DEC27-B35.5,BUY_YES,3,,,0.01,0.01,0.0,3,
