time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,strategy
2025-12-14 05:54:04.156242,BUY_YES,KXHIGHNY-25DEC14-T34,90,3,0.02,2.72,MM,2,739.92,1.0,89.0,RegimeSwitcher
2025-12-14 05:54:15.399752,BUY_YES,KXHIGHNY-25DEC14-T34,89,8,0.06,7.18,MM,1,732.74,0.5,88.5,RegimeSwitcher
2025-12-14 05:54:27.824828,BUY_YES,KXHIGHNY-25DEC14-T34,89,4,0.03,3.59,MM,1,729.15,0.5,88.5,RegimeSwitcher
2025-12-14 06:01:18.320157,BUY_YES,KXHIGHNY-25DEC14-T34,87,2,0.02,1.76,MM,1,727.39,0.5,86.5,RegimeSwitcher
2025-12-14 06:02:37.555478,BUY_YES,KXHIGHNY-25DEC14-T34,86,5,0.05,4.35,MM,3,723.04,1.5,84.5,RegimeSwitcher
2025-12-14 06:02:39.956026,BUY_YES,KXHIGHNY-25DEC14-T34,85,13,0.12,11.169999999999998,MM,2,711.87,1.0,84.0,RegimeSwitcher
2025-12-14 07:25:37.984888,BUY_YES,KXHIGHNY-25DEC14-T34,94,3,0.02,2.84,MM,1,709.03,0.5,93.5,RegimeSwitcher
2025-12-14 07:29:36.253205,BUY_YES,KXHIGHNY-25DEC15-T33,6,500,1.98,31.98,MM,4,677.05,2.0,4.0,RegimeSwitcher
2025-12-14 07:29:36.253369,BUY_YES,KXHIGHNY-25DEC15-T26,4,500,1.35,21.35,MM,2,655.6999999999999,1.0,3.0,RegimeSwitcher
2025-12-14 07:29:41.869364,BUY_YES,KXHIGHNY-25DEC15-B26.5,12,305,2.26,38.86,MM,6,616.8399999999999,3.0,9.0,RegimeSwitcher
2025-12-14 07:29:49.208920,BUY_NO,KXHIGHNY-25DEC15-B30.5,61,3,0.05,1.8800000000000001,MM,1,614.9599999999999,0.5,39.5,RegimeSwitcher
2025-12-14 07:32:55.289187,BUY_YES,KXHIGHNY-25DEC15-B26.5,12,103,0.77,13.129999999999999,MM,6,601.8299999999999,3.0,9.0,RegimeSwitcher
2025-12-14 07:32:56.344482,BUY_NO,KXHIGHNY-25DEC15-B28.5,67,8,0.13,5.49,MM,4,596.3399999999999,2.0,35.0,RegimeSwitcher
2025-12-14 07:32:59.119491,BUY_YES,KXHIGHNY-25DEC15-B26.5,13,39,0.31,5.38,MM,7,590.9599999999999,3.5,9.5,RegimeSwitcher
2025-12-14 07:33:26.281352,BUY_NO,KXHIGHNY-25DEC15-B28.5,66,12,0.19,8.11,MM,2,582.8499999999999,1.0,35.0,RegimeSwitcher
2025-12-14 07:41:58.410662,BUY_YES,KXHIGHNY-25DEC15-B26.5,12,53,0.4,6.76,MM,10,576.0899999999999,5.0,7.0,RegimeSwitcher
2025-12-14 08:00:17.108262,BUY_YES,KXHIGHNY-25DEC14-T34,91,3,0.02,2.75,MM,1,573.3399999999999,0.5,90.5,RegimeSwitcher
2025-12-14 08:01:15.032717,BUY_YES,KXHIGHNY-25DEC14-T34,90,10,0.07,9.07,MM,2,564.2699999999999,1.0,89.0,RegimeSwitcher
2025-12-14 08:01:48.113274,BUY_YES,KXHIGHNY-25DEC14-T34,90,7,0.05,6.35,MM,2,557.9199999999998,1.0,89.0,RegimeSwitcher
2025-12-14 08:28:29.081643,BUY_YES,KXHIGHNY-25DEC14-T34,94,2,0.01,1.89,MM,3,556.0299999999999,1.5,92.5,RegimeSwitcher
2025-12-14 13:00:47.658868,BUY_YES,KXHIGHNY-25DEC15-B32.5,10,286,1.81,30.41,MM,1,525.6199999999999,0.5,9.5,RegimeSwitcher
