time,action,ticker,price,qty,fee,cost,source,capital_after
2025-12-26 05:17:16.780482,BUY_YES,KXHIGHNY-25DEC26-B33.5,15,1,0.01,0.16,Replay,15.05000000000002
2025-12-26 05:17:21.673132,BUY_YES,KXHIGHNY-25DEC26-B33.5,14,3,0.03,0.45000000000000007,Replay,14.600000000000021
2025-12-26 05:20:14.888998,BUY_YES,KXHIGHNY-25DEC26-B33.5,14,1,0.01,0.15000000000000002,Replay,14.45000000000002
2025-12-26 05:36:44.779689,BUY_YES,KXHIGHNY-25DEC26-B33.5,14,1,0.01,0.15000000000000002,Replay,14.30000000000002
2025-12-26 05:39:03.373311,BUY_YES,KXHIGHNY-25DEC26-B33.5,12,1,0.01,0.13,Replay,14.17000000000002
2025-12-26 06:06:07.784369,BUY_YES,KXHIGHNY-25DEC26-B29.5,29,1,0.02,0.31,Replay,13.860000000000019
2025-12-26 06:08:08.128159,BUY_YES,KXHIGHNY-25DEC26-B29.5,28,1,0.02,0.30000000000000004,Replay,13.560000000000018
2025-12-26 06:08:13.393428,BUY_YES,KXHIGHNY-25DEC26-B29.5,29,1,0.02,0.31,Replay,13.250000000000018
2025-12-26 06:08:26.157680,BUY_YES,KXHIGHNY-25DEC26-B29.5,28,1,0.02,0.30000000000000004,Replay,12.950000000000017
2025-12-26 06:18:32.873501,BUY_YES,KXHIGHNY-25DEC26-B33.5,11,6,0.05,0.7100000000000001,Replay,12.240000000000016
2025-12-26 07:05:05.378613,BUY_NO,KXHIGHNY-25DEC26-B31.5,48,1,0.02,0.5,Replay,11.740000000000016
2025-12-26 07:12:58.740997,BUY_YES,KXHIGHNY-25DEC26-B33.5,12,5,0.04,0.64,Replay,11.100000000000016
2025-12-26 07:13:02.502699,BUY_YES,KXHIGHNY-25DEC26-B33.5,12,1,0.01,0.13,Replay,10.970000000000015
2025-12-26 07:16:09.834659,BUY_YES,KXHIGHNY-25DEC27-B35.5,8,1,0.01,0.09,Replay,10.880000000000015
2025-12-27 05:12:17.066459,PAYOUT,KXHIGHNY-25DEC26-B27.5,0,15,0.0,-0.0,Settlement,10.880000000000015
2025-12-27 05:12:17.066459,PAYOUT,KXHIGHNY-25DEC26-B29.5,100,50,0.0,-50.0,Settlement,60.88000000000002
2025-12-27 05:12:17.066459,PAYOUT,KXHIGHNY-25DEC26-B33.5,0,19,0.0,-0.0,Settlement,60.88000000000002
2025-12-27 05:12:17.066459,PAYOUT,KXHIGHNY-25DEC26-T34,0,2,0.0,-2.0,Settlement,62.88000000000002
2025-12-27 05:12:17.066459,PAYOUT,KXHIGHNY-25DEC26-B31.5,0,1,0.0,-1.0,Settlement,63.88000000000002
2025-12-27 05:12:17.066459,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,28,0.25,4.45,Replay,59.430000000000014
2025-12-27 05:12:22.473286,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,22,0.2,3.5,Replay,55.930000000000014
2025-12-27 05:14:24.056704,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,20,0.18,3.18,Replay,52.750000000000014
2025-12-27 05:15:06.635824,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,17,0.16,2.71,Replay,50.04000000000001
2025-12-27 05:17:49.209763,BUY_YES,KXHIGHNY-25DEC27-B35.5,4,64,0.18,2.74,Replay,47.30000000000001
2025-12-27 05:17:50.697457,BUY_YES,KXHIGHNY-25DEC27-B35.5,3,79,0.17,2.54,Replay,44.76000000000001
2025-12-27 05:18:05.351749,BUY_YES,KXHIGHNY-25DEC27-T36,1,92,0.07,0.99,Replay,43.77000000000001
2025-12-27 05:18:07.550676,BUY_YES,KXHIGHNY-25DEC27-B35.5,4,29,0.08,1.24,Replay,42.53000000000001
2025-12-27 05:18:28.147656,BUY_NO,KXHIGHNY-25DEC27-B31.5,14,14,0.12,2.08,Replay,40.45000000000001
2025-12-27 05:19:08.488547,BUY_NO,KXHIGHNY-25DEC27-B31.5,13,14,0.12,1.94,Replay,38.51000000000001
2025-12-27 05:35:50.492490,BUY_YES,KXHIGHNY-25DEC27-B35.5,4,22,0.06,0.94,Replay,37.570000000000014
2025-12-27 05:35:52.516286,BUY_NO,KXHIGHNY-25DEC27-B31.5,13,13,0.11,1.8,Replay,35.77000000000002
2025-12-27 05:44:05.508466,BUY_YES,KXHIGHNY-25DEC27-B35.5,3,36,0.08,1.1600000000000001,Replay,34.610000000000014
2025-12-27 05:44:09.317854,BUY_YES,KXHIGHNY-25DEC27-B33.5,15,17,0.16,2.71,Replay,31.900000000000013
2025-12-27 05:47:06.151947,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,9,0.09,1.44,Replay,30.46000000000001
2025-12-27 05:47:51.595683,BUY_NO,KXHIGHNY-25DEC27-B31.5,15,9,0.09,1.44,Replay,29.02000000000001
2025-12-27 05:48:33.742578,BUY_NO,KXHIGHNY-25DEC27-B31.5,14,9,0.08,1.3400000000000003,Replay,27.68000000000001
2025-12-27 05:48:59.354667,BUY_YES,KXHIGHNY-25DEC27-B33.5,14,12,0.11,1.7900000000000003,Replay,25.89000000000001
2025-12-27 05:57:03.626373,BUY_YES,KXHIGHNY-25DEC27-B33.5,15,10,0.09,1.59,Replay,24.30000000000001
2025-12-27 05:57:11.707311,BUY_YES,KXHIGHNY-25DEC27-B35.5,3,3,0.01,0.09999999999999999,Replay,24.20000000000001
