time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-10 10:26:09.529387,BUY_YES,KXHIGHNY-25DEC10-B46.5,65.0,11,0.18,7.33,MM,4.0,153.96000000000012,2.0,63.0,
2025-12-10 10:26:11.787949,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,9,0.15,6.090000000000001,MM,4.0,147.87000000000012,2.0,64.0,
2025-12-10 10:26:14.792326,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,8,0.13,5.41,MM,3.0,142.46000000000012,1.5,64.5,
2025-12-10 10:26:17.734474,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,6,0.1,4.06,MM,2.0,138.40000000000012,1.0,65.0,
2025-12-10 10:26:22.013369,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,4,0.07,2.71,MM,1.0,135.6900000000001,0.5,65.5,
2025-12-10 10:26:24.455789,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,3,0.05,2.03,MM,5.0,133.6600000000001,2.5,63.5,
2025-12-10 10:26:24.766146,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,1,0.02,0.68,MM,4.0,132.9800000000001,2.0,64.0,
2025-12-10 10:30:10.376123,BUY_YES,KXHIGHNY-25DEC10-B46.5,73.0,1,0.02,0.75,MM,2.0,132.2300000000001,2.0,71.0,
2025-12-10 10:30:17.334519,BUY_YES,KXHIGHNY-25DEC10-B46.5,72.0,2,0.03,1.47,MM,1.0,130.7600000000001,1.5,70.5,
2025-12-10 10:32:25.598955,BUY_YES,KXHIGHNY-25DEC10-B46.5,71.0,1,0.02,0.73,MM,3.0,130.03000000000011,2.5,68.5,
2025-12-10 10:32:25.691220,BUY_YES,KXHIGHNY-25DEC10-B46.5,70.0,2,0.03,1.43,MM,3.0,128.6000000000001,1.5,68.5,
2025-12-10 10:32:28.794828,BUY_YES,KXHIGHNY-25DEC10-B46.5,70.0,1,0.02,0.72,MM,2.0,127.88000000000011,2.0,68.0,
2025-12-10 10:32:33.251805,BUY_YES,KXHIGHNY-25DEC10-B46.5,69.0,2,0.03,1.41,MM,2.0,126.47000000000011,1.0,68.0,
2025-12-10 10:32:36.902314,BUY_YES,KXHIGHNY-25DEC10-B46.5,69.0,1,0.02,0.71,MM,1.0,125.76000000000012,0.5,68.5,
