timestamp,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,open_interest,volume,liquidity
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,318012
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,35831
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2390891
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,28336
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,51113
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40257,21300
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2474200
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,158095
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,130641
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,257925
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-B56.5,34,36,64,66,33,1736,2189,344706
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-B54.5,36,37,63,64,37,4298,5032,587911
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,318171
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39631
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32136
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,56313
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40298,21259
2025-11-24T23:53:44.225974+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2490200
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,158221
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,130757
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-B58.5,20,22,78,80,20,651,694,257766
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-B56.5,34,36,64,66,33,1736,2189,351787
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-B54.5,36,37,63,64,37,4298,5032,583224
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,320686
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39631
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,32136
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,56313
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40298,21259
2025-11-24T23:54:44.374738+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2490200
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,158291
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,130907
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-B58.5,20,22,78,80,20,651,694,257103
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-B56.5,33,36,64,67,33,1736,2189,351265
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-B54.5,36,38,62,64,37,4298,5032,582973
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,320064
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,39591
2025-11-24T23:55:44.422383+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2406891
