timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T23:08:33.250942,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:08:34.980593,KXHIGHNY-26JAN09-B49.5,16,81,84,19,18
2026-01-08T23:08:36.212680,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:08:36.323775,KXHIGHNY-26JAN09-B51.5,40,54,60,46,40
2026-01-08T23:08:36.547464,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:08:36.869562,KXHIGHNY-26JAN09-B51.5,40,56,60,44,40
2026-01-08T23:08:37.097058,KXHIGHNY-26JAN09-B49.5,16,81,84,19,18
2026-01-08T23:08:37.428410,KXHIGHNY-26JAN09-B55.5,9,88,91,12,11
2026-01-08T23:08:42.536170,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:08:46.542302,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:08:46.651443,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:08:46.764231,KXHIGHNY-26JAN09-B51.5,40,54,60,46,40
2026-01-08T23:08:47.327100,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:08:53.955392,KXHIGHNY-26JAN09-B51.5,40,53,60,47,40
2026-01-08T23:08:53.955896,KXHIGHNY-26JAN09-B51.5,40,52,60,48,40
2026-01-08T23:08:54.045255,KXHIGHNY-26JAN09-B51.5,40,53,60,47,40
2026-01-08T23:08:55.859016,KXHIGHNY-26JAN09-B51.5,40,54,60,46,40
2026-01-08T23:08:56.045539,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:08:56.209311,KXHIGHNY-26JAN09-B51.5,41,55,59,45,40
2026-01-08T23:08:56.651944,KXHIGHNY-26JAN09-B55.5,9,86,91,14,11
2026-01-08T23:08:56.770845,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
2026-01-08T23:08:56.789088,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:08:56.881743,KXHIGHNY-26JAN09-B51.5,41,52,59,48,40
2026-01-08T23:08:56.975238,KXHIGHNY-26JAN09-B51.5,41,53,59,47,40
2026-01-08T23:08:59.050848,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
2026-01-08T23:08:59.198055,KXHIGHNY-26JAN09-B51.5,41,55,59,45,40
2026-01-08T23:08:59.417229,KXHIGHNY-26JAN09-B49.5,16,78,84,22,18
2026-01-08T23:08:59.563554,KXHIGHNY-26JAN09-B51.5,41,54,59,46,40
2026-01-08T23:08:59.580381,KXHIGHNY-26JAN09-B49.5,16,80,84,20,18
2026-01-08T23:09:01.038631,KXHIGHNY-26JAN09-B49.5,17,80,83,20,18
2026-01-08T23:09:01.047168,KXHIGHNY-26JAN09-B51.5,41,52,59,48,40
